Institution,Program,Level,Accredited
35.,Micro Award of Robotics,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
36.,Micro Award of Mathematics 1,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
37.,Micro Award of English 1,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
38.,Micro Award of Pengajian Malaysia,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,A 7448
39.,Micro Award in Genetics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
40.,Micro Award in Downstream Processing,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
41.,Micro Award in Comparative Genomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
42.,Micro Award in Bioprocess Technology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
43.,Micro Award in Bio-business,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
44.,Micro Award in Aquaculture,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
45.,Micro Award in Genetic Engineering,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
46.,Micro Award in Proteomics and RNomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
47.,Micro Award in Pharmacogenomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
48.,Micro Award in Research Methodology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
49.,Micro Award in Biopython,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
50.,Micro Award in Metabolomics,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
51.,Micro Award in Molecular modeling,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
52.,Micro Award in Medical Biotechnology,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
53.,Micro Award in Laboratory Biorisk Management,BACHELOR OF SCIENCE (HONOURS) BIOTECHNOLOGY,A9263
54.,MICRO AWARD IN ACCOUNTING AND FINANCE FOR MANAGERS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
55.,MICRO AWARD IN MANAGEMENT AND ORGANIZATIONAL BEHAVIOUR,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
56.,MICRO AWARD IN MARKETING MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
57.,MICRO AWARD IN HUMAN RESOURCE MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
58.,MICRO AWARD IN INTERNATIONAL BUSINESS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
59.,MICRO AWARD IN CORPORATE STRATEGY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
60.,MICRO AWARD IN MANAGERIAL ECONOMICS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
61.,MICRO AWARD IN PROJECT MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
62.,MICRO AWARD IN MANAGEMENT INFORMATION SYSTEM,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
63.,MICRO AWARD IN LAW AND ETHICAL ISSUES IN BUSINESS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
64.,MICRO AWARD IN BUSINESS SUSTAINABILITY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
65.,MICRO AWARD IN RESEARCH METHODOLOGY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449
66.,,3,4 weeks
67.,,3,4 weeks
68.,MICRO-CREDENTIAL IN STRATEGIC MANAGEMENT,Bachelor of Business Administration (Hons),A11211
69.,Data Structure,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216
70.,Computer Programming,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216
71.,Artificial Intelligence,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216
72.,60,Bachelor of Occupational Safety & Health (Hons),A11513
73.,Multimedia Production,BACHELOR OF MULTIMEDIA (HONS),MQA/FA1999
74.,Family and Relationship Counselling,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481
75.,Counselling Skills,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481
76.,Counselling Method,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481
77.,Social Problem and Social Welfare,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481
78.,Event Planning & Management,BACHELOR OF HOSPITALITY MANAGEMENT (HONS),MQA/FA4569
79.,,Online Mode,3
80.,CM-Credential in Introduction to Petroleum Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812
81.,CM-Credential in Fundamentals of Reservoir Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812
82.,CM-Credential in Numerical Reservoir Simulation,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812
83.,CM-Credential in Petrophysics and Reservoir Properties Laboratory,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812
84.,CM-Credential in Advanced Reservoir Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812
85.,CM-Credential in Process Principles,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559
86.,CM-Credential in Process Simulation,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559
87.,CM-Credential in Process Plant Engineering,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559
88.,CM-Credential in Process Instrumentation and Control,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559
89.,CM-Credential in Start-Up Business Planning,Bachelor of Commerce (Human Resource Management and Management),MQA/PSA 11145
90.,CM-Credential in Human Resources Management Introduction,Bachelor of Commerce (Human Resource Management and Management),MQA/PSA 11145
91.,CM-Credential in Fundamental Concepts of Cryptography,Bachelor of Computing (Cyber Security),MQA/PSA 13760
92.,CM-Credential in Introduction to Software Engineering,Bachelor of Computing (Cyber Security),MQA/PSA 13760
93.,CM-Credential in Unix and C Programming,Bachelor of Computing (Cyber Security),MQA/PSA 13760
94.,CM-Credential in Database Systems,Bachelor of Computing (Cyber Security),MQA/PSA 13760
95.,CM-Credential in Cyber Security Concepts,Bachelor of Computing (Cyber Security),MQA/PSA 13760
96.,CM-Credential in Cyber Crime and Security Enhanced Programming,Bachelor of Computing (Cyber Security),MQA/PSA 13760
97.,CM-Credential in Seafood Technology,Master of Science (Sustainable Aquaculture),MQA/PSA14052
98.,CM-Credential in Aquaculture and Food Security,Master of Science (Sustainable Aquaculture),MQA/PSA14052
99.,CM-Credentials in Aquaculture Nutrition,Master of Science (Sustainable Aquaculture),MQA/PSA14052
100.,CM-Credentials in Aquaculture principles and practices,Master of Science (Sustainable Aquaculture),MQA/PSA14052
101.,CM-Credential in Managing Social Media Platforms,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025
102.,CM-Credential in Digital Marketing Strategy,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025
103.,CM-Credential in Analytics for Decision Making,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025
104.,CM-Credential in Financial Decision Making,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025
105.,CM-Credential in Project Management Overview,Master of Science (Project Management),MQA/SWA0040
106.,CM-Credential in Project Cost Management,Master of Science (Project Management),MQA/SWA0040
107.,CM-Credential in Project Time Management,Master of Science (Project Management),MQA/SWA0040
108.,CM-Credential in Project Risk Management,Master of Science (Project Management),MQA/SWA0040
109.,Micro Award Front Office Management,Diploma in Hotel & Catering Management,A 9311
110.,Micro Award Restaurant Operation Management,Diploma in Hotel & Catering Management,A 9311
111.,Micro Award Hospitality Law,Diploma in Hotel & Catering Management,A 9311
112.,Micro Award Housekeeping Operations,Diploma in Hotel & Catering Management,A 9311
113.,Micro Award Culinary Event Management,Diploma in Hotel & Catering Management,A 9311
114.,Micro Award English Proficiency for Academic Purposes,Diploma in Hotel & Catering Management,A 9311
115.,Micro Award Introduction to Hospitality Industry,Diploma in Hotel & Catering Management,A 9311
116.,Micro Award Principles of Food Studies,Diploma in Hotel & Catering Management,A 9311
117.,Micro Award Baking & Pastry Skills,Diploma in Hotel & Catering Management,A 9311
118.,Micro Award Business Communication,Diploma in Hotel & Catering Management,A 9311
119.,Micro Award English Proficiency for Writing Purposes,Diploma in Hotel & Catering Management,A 9311
120.,IT & Application,Diploma in Hotel & Catering Management,A 9311
121.,Micro Award Food Hygiene & Sanitation,Diploma in Hotel & Catering Management,A 9311
122.,Micro Award Food & Beverages Services Skills,Diploma in Hotel & Catering Management,A 9311
123.,Micro Award Western Cooking Skills,Diploma in Hotel & Catering Management,A 9311
124.,Micro Award Mathematics,Diploma in Hotel & Catering Management,A 9311
125.,Micro Award Introduction to Management,Diploma in Hotel & Catering Management,A 9311
126.,Micro Award Hospitality Accounting,Diploma in Hotel & Catering Management,A 9311
127.,Micro Award Menu Planning & Cost Control,Diploma in Hotel & Catering Management,A 9311
128.,Micro AwardOriental & Asian Cooking Skills,Diploma in Hotel & Catering Management,A 9311
129.,Micro Award Introduction to Hospitality Human Resource Management,Diploma in Hotel & Catering Management,A 9311
130.,Micro Award Customer Service,Diploma in Hotel & Catering Management,A 9311
131.,Micro Award Hospitality Public Relation,Diploma in Hotel & Catering Management,A 9311
132.,Micro Award Catering System & Management,Diploma in Hotel & Catering Management,A 9311
133.,Micro Award Hospitality & Travel Marketing,Diploma in Hotel & Catering Management,A 9311
134.,MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSE,Diploma in Human Resources Management,A 9313
135.,MICRO AWARD PRINCIPLES OF MANAGEMENT,Diploma in Human Resources Management,A 9313
136.,MICRO AWARD APPLICATION OF INFORMATION TECHNOLOGY,Diploma in Human Resources Management,A 9313
137.,MICRO AWARD BUSINESS COMMUNICATION,Diploma in Human Resources Management,A 9313
138.,MICRO AWARD HUMAN RESOURCE MANAGEMENT,Diploma in Human Resources Management,A 9313
139.,MICRO AWARD PRINCIPLES OF ECONOMICS,Diploma in Human Resources Management,A 9313
140.,MICRO AWARD ORGANISATIONAL BEHAVIOUR,Diploma in Human Resources Management,A 9313
141.,MICRO AWARD INTRODUCTION TO ACCOUNTING,Diploma in Human Resources Management,A 9313
142.,MICRO AWARD TRAINING AND DEVELOPMENT,Diploma in Human Resources Management,A 9313
143.,MICRO AWARD BUSINESS LAW,Diploma in Human Resources Management,A 9313
144.,MICRO AWARD INTERNATIONAL HUMAN RESOURCES,Diploma in Human Resources Management,A 9313
145.,MICRO AWARD PRINCIPLES OF MARKETING,Diploma in Human Resources Management,A 9313
146.,MICRO AWARD PRINCIPLES OF ENTREPRENUERSHIP,Diploma in Human Resources Management,A 9313
147.,MICRO AWARD BUSINESS STATISTIC,Diploma in Human Resources Management,A 9313
148.,MICRO AWARD CAREER DEVELOPMENT,Diploma in Human Resources Management,A 9313
149.,MICRO AWARD FUNDAMENTALS OF HUMAN RESOURCE INFORMATION SYSTEMS,Diploma in Human Resources Management,A 9313
150.,MICRO AWARD PERFORMANCE AND APPRAISAL,Diploma in Human Resources Management,A 9313
151.,MICRO AWARD COMPANY LAW,Diploma in Human Resources Management,A 9313
152.,MICRO AWARD NEGOTIATION SKILLS,Diploma in Human Resources Management,A 9313
153.,MICRO AWARD OCCUPATIONAL SAFETY & HEALTH MANAGEMENT,Diploma in Human Resources Management,A 9313
154.,MICRO AWARD RECRUITMENT AND SELECTION,Diploma in Human Resources Management,A 9313
155.,MICRO AWARD FINANCIAL ANALYSIS,Diploma in Human Resources Management,A 9313
156.,MICRO AWARD COMPENSATION MANAGEMENT,Diploma in Human Resources Management,A 9313
157.,MICRO AWARD STRATEGIC MANAGEMENT,Diploma in Human Resources Management,A 9313
158.,MICRO AWARD MALAYSIAN INDUSTRIAL RELATIONS: LAW &PRACTICES,Diploma in Human Resources Management,A 9313
159.,Micro Award Introduction To Information Technology,Diploma in Cyber Forensic,A 9653
160.,Micro Award Introduction To C++ Programming,Diploma in Cyber Forensic,A 9653
161.,Micro Award English For Academic Purposes,Diploma in Cyber Forensic,A 9653
162.,Micro Award Introduction to Forensic Science,Diploma in Cyber Forensic,A 9653
163.,Micro Award Matematik Asas 1,Diploma in Cyber Forensic,A 9653
164.,Micro Award Introduction To Data Structures,Diploma in Cyber Forensic,A 9653
165.,Micro Award Introduction To Computer Architecture and Organization,Diploma in Cyber Forensic,A 9653
166.,Micro Award Introduction to Networking,Diploma in Cyber Forensic,A 9653
167.,Micro Award Technology of Multimedia,Diploma in Cyber Forensic,A 9653
168.,Micro Award Introduction to Computer Forensic,Diploma in Cyber Forensic,A 9653
169.,Micro Award JAVA Programming,Diploma in Cyber Forensic,A 9653
170.,Micro Award Introduction to Database,Diploma in Cyber Forensic,A 9653
171.,Micro Award First responder of digital evidence,Diploma in Cyber Forensic,A 9653
172.,Micro Award Statistics and Probabilities,Diploma in Cyber Forensic,A 9653
173.,Micro Award Introduction To Operating System,Diploma in Cyber Forensic,A 9653
174.,Micro Award Internet Technology,Diploma in Cyber Forensic,A 9653
175.,Micro Award Discrete Mathematics,Diploma in Cyber Forensic,A 9653
176.,Micro Award Network Security,Diploma in Cyber Forensic,A 9653
177.,Micro Award Internet Programming,Diploma in Cyber Forensic,A 9653
178.,Micro Award Introduction To Artificial Intelligence,Diploma in Cyber Forensic,A 9653
179.,Micro Award Computer Forensics Lab management,Diploma in Cyber Forensic,A 9653
180.,Micro Award Cyber law & ethics,Diploma in Cyber Forensic,A 9653
181.,Micro Award Linux Programming,Diploma in Cyber Forensic,A 9653
182.,Micro Award Presentation Skills in court,Diploma in Cyber Forensic,A 9653
183.,MICRO AWARD HUMAN RESOURCES MANAGEMENT,Diploma in Business Management,A11677
184.,MICRO AWARD BUSINESS MATHEMATICS,Diploma in Business Management,A11677
185.,MICRO AWARD INTRODUCTION TO ACCOUNTING,Diploma in Business Management,A11677
186.,MICRO AWARD BUSINESS COMMUNICATIONS,Diploma in Business Management,A11677
187.,MICRO AWARD ENGLISH PROFICIENCY FOR WRITING PURPOSES,Diploma in Business Management,A11677
188.,MICRO AWARD ELECTRONIC COMMERCE,Diploma in Business Management,A11677
189.,MICRO AWARD BUSINESS LAW,Diploma in Business Management,A11677
190.,MICRO AWARD ORGANISATIONAL BEHAVIOUR,Diploma in Business Management,A11677
191.,MICRO AWARD INTERNATIONAL BUSINESS,Diploma in Business Management,A11677
192.,MICRO AWARD FUNDAMENTAL OF MARKETING,Diploma in Business Management,A11677
193.,MICRO AWARD FINANCIAL ANALYSIS,Diploma in Business Management,A11677
194.,MICRO AWARD  PRINCIPLES OF ECONOMICS,Diploma in Business Management,A11677
195.,MICRO AWARD  INTRODUCTION TO MULTIMEDIA,Diploma in Business Management,A11677
196.,MICRO AWARD  SMALL BUSINESS MANAGEMENT,Diploma in Business Management,A11677
197.,MICRO AWARD  BUSINESS RESEARCH METHODS,Diploma in Business Management,A11677
198.,MICRO AWARD  BUSINESS STATISTICS,Diploma in Business Management,A11677
199.,MICRO AWARD  MAHAGERIAL ACCOUNTING,Diploma in Business Management,A11677
200.,MICRO AWARD  MANAGEMENT INFORMATION SYSTEM,Diploma in Business Management,A11677
201.,MICRO AWARD  BUSINESS ETHICS,Diploma in Business Management,A11677
202.,MICRO AWARD  STRATEGIC MANAGEMENT,Diploma in Business Management,A11677
203.,MICRO AWARD  OPERATION MANAGEMENT,Diploma in Business Management,A11677
204.,MICRO AWARD  BUSINESS PLAN,Diploma in Business Management,A11677
205.,MICRO AWARD BASIC OF MANAGEMENT,Diploma in Business Management,A11677
206.,MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSES,Diploma in Business Management,A11677
207.,MICRO AWARD APPLICATION OF INFORMATION TECHNOLOGY,Diploma in Business Management,A11677
208.,MICRO AWARD INTERPERSONAL COMMUNICATION,Diploma in Business Management,A11677
209.,Micro Award Organizational Behaviour,Diploma in Islamic Banking,A8982
210.,Micro Award Business Communication,Diploma in Islamic Banking,A8982
211.,Micro Award Principles of Islamic Banking,Diploma in Islamic Banking,A8982
212.,Micro Award Business Law,Diploma in Islamic Banking,A8982
213.,Micro Award English Proficiency for Academic Purposes,Diploma in Islamic Banking,A8982
214.,Micro Award Application of Information Technology,Diploma in Islamic Banking,A8982
215.,Micro Award Fiqh of Public Policy in Islamic Banking,Diploma in Islamic Banking,A8982
216.,Micro Award Procedural & Legal Aspects of Islamic Banking,Diploma in Islamic Banking,A8982
217.,Micro Award Islamic Financial Market & Institutions,Diploma in Islamic Banking,A8982
218.,Micro Award Islamic Management & Administration,Diploma in Islamic Banking,A8982
219.,Micro Award Financial Analysis,Diploma in Islamic Banking,A8982
220.,Micro Award Islamic Jurisprudence,Diploma in Islamic Banking,A8982
221.,Micro Award Islamic Banking Practice 1,Diploma in Islamic Banking,A8982
222.,Micro Award Management Information System,Diploma in Islamic Banking,A8982
223.,Micro Award Fiqh Muamalat,Diploma in Islamic Banking,A8982
224.,Micro Award Principles of Islamic Accounting,Diploma in Islamic Banking,A8982
225.,Micro Award International Business,Diploma in Islamic Banking,A8982
226.,Micro Award Communicative Arabic 2,Diploma in Islamic Banking,A8982
227.,Micro Award Introduction to Accounting,Diploma in Islamic Banking,A8982
228.,Micro Award Business Statistics,Diploma in Islamic Banking,A8982
229.,Micro Award Principles of Management,Diploma in Islamic Banking,A8982
230.,Micro Award Principles of Islamic Finance,Diploma in Islamic Banking,A8982
231.,Micro Award Communicative Arabic 1,Diploma in Islamic Banking,A8982
232.,Micro Award Principles of Economics,Diploma in Islamic Banking,A8982
233.,Micro Award Islamic Economics,Diploma in Islamic Banking,A8982
234.,MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSE,Diploma in Creative Multimedia,A9242
235.,Micro Award Application of Information Technology,Diploma in Creative Multimedia,A9242
236.,Micro Award Drawing Fundamental,Diploma in Creative Multimedia,A9242
237.,Micro Award Basic Animation,Diploma in Creative Multimedia,A9242
238.,Micro Award Multimedia Interface Design,Diploma in Creative Multimedia,A9242
239.,Micro Award 3D Animation,Diploma in Creative Multimedia,A9242
240.,Micro Award Visual Communication,Diploma in Creative Multimedia,A9242
241.,Micro Award Art History,Diploma in Creative Multimedia,A9242
242.,Micro Award Storyboarding,Diploma in Creative Multimedia,A9242
243.,Micro Award Image Manipulation,Diploma in Creative Multimedia,A9242
244.,Micro Award Multimedia Development,Diploma in Creative Multimedia,A9242
245.,Micro Award Design Communication,Diploma in Creative Multimedia,A9242
246.,Micro Typography,Diploma in Creative Multimedia,A9242
247.,Micro Award Photography,Diploma in Creative Multimedia,A9242
248.,Micro Award Multimedia Project 1,Diploma in Creative Multimedia,A9242
249.,Micro Award Audio Video Editing,Diploma in Creative Multimedia,A9242
250.,Micro Award Web Animation,Diploma in Creative Multimedia,A9242
251.,Micro Award Desktop Publishing,Diploma in Creative Multimedia,A9242
252.,Micro Award Content Development,Diploma in Creative Multimedia,A9242
253.,Micro Award Web Design,Diploma in Creative Multimedia,A9242
254.,Micro Award Multimedia Project 2,Diploma in Creative Multimedia,A9242
255.,Micro Award Bahasa Arab 1,Diploma Syariah,FA 13657
256.,Micro Award Fiqh Sirah,Diploma Syariah,FA 13657
257.,Micro Award Ulum Al-Quran,Diploma Syariah,FA 13657
258.,Micro Award English Proficiency for Academic Purposes,Diploma Syariah,FA 13657
259.,Mircro Award Computer Application,Diploma Syariah,FA 13657
260.,Micro Award Al-Aqidah Al-Islamiah,Diploma Syariah,FA 13657
261.,Micro Award Tafsir Al-Quran,Diploma Syariah,FA 13657
262.,Micro Award Al-Fiqh Al-Islami,Diploma Syariah,FA 13657
263.,Micro Award Al-Madkhal Fil Ilm Dakwah,Diploma Syariah,FA 13657
264.,Micro Award Fiqh Al-Munakahat,Diploma Syariah,FA 13657
265.,Micro Award Al-Hadith Wal Ulumuhu,Diploma Syariah,FA 13657
266.,Micro Award Pengantar Perundangan Islam di Malaysia,Diploma Syariah,FA 13657
267.,Micro Award Fiqh Al-Mirath,Diploma Syariah,FA 13657
268.,Micro Award Tarikh Tasyri’ Al-Islami,Diploma Syariah,FA 13657
269.,Micro Award Al-Qawa’id Al-Fiqhiah,Diploma Syariah,FA 13657
270.,Micro Award Pentabdiran dan Micro Award Pengurusan Islam,Diploma Syariah,FA 13657
271.,Micro Award Bahasa Arab 4,Diploma Syariah,FA 13657
272.,Micro Award Ekonomi Islam,Diploma Syariah,FA 13657
273.,Micro Award Tilawah 2,Diploma Syariah,FA 13657
274.,Micro Award Bahasa Arab 3,Diploma Syariah,FA 13657
275.,Micro Award Fiqh Muqarin,Diploma Syariah,FA 13657
276.,Micro Award Tilawah 1,Diploma Syariah,FA 13657
277.,Micro Award Bahasa Arab 2,Diploma Syariah,FA 13657
278.,Micro Award Usul Fiqh,Diploma Syariah,FA 13657
279.,Micro Award Bahasa Arab 5,Diploma Syariah,FA 13657
280.,Fiqh Muamalat,Diploma Syariah,FA 13657
281.,Micro Award Fiqh Jinayah,Diploma Syariah,FA 13657
282.,Micro Award Basic Philosophy of Early Childhood Education,Diploma in Early Childhood Education,FA 9050
283.,Micro Award Child Development,Diploma in Early Childhood Education,FA 9050
284.,Micro Award Professional Skills of Preschool Teachers,Diploma in Early Childhood Education,FA 9050
285.,Micro Award Planning and Development Center in EarlyChildhood Education,Diploma in Early Childhood Education,FA 9050
286.,Micro Award Basic Approach in Early Childhood,Diploma in Early Childhood Education,FA 9050
287.,Micro Award Mathematics in Early Chilhdood Education,Diploma in Early Childhood Education,FA 9050
288.,Micro Award Creativity in Early Childhood Education,Diploma in Early Childhood Education,FA 9050
289.,Micro Award Children with Special Needs,Diploma in Early Childhood Education,FA 9050
290.,"Micro Award Health, Safety and Nutrition",Diploma in Early Childhood Education,FA 9050
291.,Micro Award Physical Education Early Childhood  Education,Diploma in Early Childhood Education,FA 9050
292.,Micro Award Science in Early Childhood,Diploma in Early Childhood Education,FA 9050
293.,Micro AwardObservation and Assessment in YoungChildren,Diploma in Early Childhood Education,FA 9050
294.,Micro AwardInfant Toddlers: Nurtuting and Teaching theYoung One,Diploma in Early Childhood Education,FA 9050
295.,Micro Award Social in Early Childhood Education,Diploma in Early Childhood Education,FA 9050
296.,Micro AwardCurriculum in Early Childhood Education,Diploma in Early Childhood Education,FA 9050
297.,Micro AwardCreative Arts in Early Childhood  Education,Diploma in Early Childhood Education,FA 9050
298.,Micro AwardSpiritual and Moral in Early ChildhoodEducation,Diploma in Early Childhood Education,FA 9050
299.,Micro Award Language Literacy in Early Childhood,Diploma in Early Childhood Education,FA 9050
300.,Micro Award Play and Child Development,Diploma in Early Childhood Education,FA 9050
301.,"Micro Award Parent, Family and Community Involvement",Diploma in Early Childhood Education,FA 9050
302.,Micro Award English Proficiency for Academic Purposes,Diploma in Early Childhood Education,FA 9050
303.,Micro Award Application of Information Technology,Diploma in Early Childhood Education,FA 9050
304.,Micro Award Foundation of Early Childhood Education,Diploma in Early Childhood Education,FA 9050
305.,Micro Award Introduction to Human Development,Diploma in Early Childhood Education,FA 9050
306.,Micro Award Organization Behavior,Certificate of Business Management,MQA/FA4029
307.,Micro Award Business Mathematics,Certificate of Business Management,MQA/FA4029
308.,Micro Award Business Statistics,Certificate of Business Management,MQA/FA4029
309.,Micro Award Entrepreneurship,Certificate of Business Management,MQA/FA4029
310.,Micro Award Principles of Accounting,Certificate of Business Management,MQA/FA4029
311.,Micro Award Principles of Marketing,Certificate of Business Management,MQA/FA4029
312.,Micro Award Principles of Economics,Certificate of Business Management,MQA/FA4029
313.,Micro Award Principles of Management,Certificate of Business Management,MQA/FA4029
314.,Micro Award Principles of Finance,Certificate of Business Management,MQA/FA4029
315.,Micro Award Business Law,Certificate of Business Management,MQA/FA4029
316.,Micro Award Business Communication,Certificate of Business Management,MQA/FA4029
317.,Micro Award E- Commerce,Certificate of Business Management,MQA/FA4029
318.,Micro Award Business Ethics,Certificate of Business Management,MQA/FA4029
319.,Micro Award Application of Information Technology,Certificate of Business Management,MQA/FA4029
320.,Micro Award English Proficiency for Academic Purpose,Certificate of Business Management,MQA/FA4029
321.,Micro Award Principles of Human Resource Management,Certificate of Business Management,MQA/FA4029
