MICRO AWARD IN MANAGEMENT AND ORGANIZATIONAL BEHAVIOUR,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN MARKETING MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN HUMAN RESOURCE MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN INTERNATIONAL BUSINESS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN CORPORATE STRATEGY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN MANAGERIAL ECONOMICS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN PROJECT MANAGEMENT,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN MANAGEMENT INFORMATION SYSTEM,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN LAW AND ETHICAL ISSUES IN BUSINESS,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN BUSINESS SUSTAINABILITY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO AWARD IN RESEARCH METHODOLOGY,MASTER OF BUSINESS ADMINISTRATION,MQA/FA13449,AIMST UNIVERSITY
MICRO-CREDENTIAL IN STRATEGIC MANAGEMENT,Bachelor of Business Administration (Hons),A11211,City University
Data Structure,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216,CITY UNIVERSITY
Computer Programming,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216,CITY UNIVERSITY
Artificial Intelligence,BACHELOR OF INFORMATION TECHNOLOGY (HONS),A11216,CITY UNIVERSITY
Multimedia Production,BACHELOR OF MULTIMEDIA (HONS),MQA/FA1999,CITY UNIVERSITY
Family and Relationship Counselling,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481,CITY UNIVERSITY
Counselling Skills,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481,CITY UNIVERSITY
Counselling Method,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481,CITY UNIVERSITY
Social Problem and Social Welfare,BACHELOR OF APPLIED PSYCHOLOGY (HONS),MQA/FA4481,CITY UNIVERSITY
Event Planning & Management,BACHELOR OF HOSPITALITY MANAGEMENT (HONS),MQA/FA4569,CITY UNIVERSITY
CM-Credential in Introduction to Petroleum Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812,Curtin University Malaysia
CM-Credential in Fundamentals of Reservoir Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812,Curtin University Malaysia
CM-Credential in Numerical Reservoir Simulation,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812,Curtin University Malaysia
CM-Credential in Petrophysics and Reservoir Properties Laboratory,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812,Curtin University Malaysia
CM-Credential in Advanced Reservoir Engineering,Bachelor of Engineering (Petroleum Engineering) (Honours),A4812,Curtin University Malaysia
CM-Credential in Process Principles,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559,Curtin University Malaysia
CM-Credential in Process Simulation,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559,Curtin University Malaysia
CM-Credential in Process Plant Engineering,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559,Curtin University Malaysia
CM-Credential in Process Instrumentation and Control,Bachelor of Engineering (Chemical Engineering) (Honours),MQA/FA5559,Curtin University Malaysia
CM-Credential in Start-Up Business Planning,Bachelor of Commerce (Human Resource Management and Management),MQA/PSA 11145,Curtin University Malaysia
CM-Credential in Human Resources Management Introduction,Bachelor of Commerce (Human Resource Management and Management),MQA/PSA 11145,Curtin University Malaysia
CM-Credential in Fundamental Concepts of Cryptography,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Introduction to Software Engineering,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Unix and C Programming,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Database Systems,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Cyber Security Concepts,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Cyber Crime and Security Enhanced Programming,Bachelor of Computing (Cyber Security),MQA/PSA 13760,Curtin University Malaysia
CM-Credential in Seafood Technology,Master of Science (Sustainable Aquaculture),MQA/PSA14052,Curtin University Malaysia
CM-Credential in Aquaculture and Food Security,Master of Science (Sustainable Aquaculture),MQA/PSA14052,Curtin University Malaysia
CM-Credentials in Aquaculture Nutrition,Master of Science (Sustainable Aquaculture),MQA/PSA14052,Curtin University Malaysia
CM-Credentials in Aquaculture principles and practices,Master of Science (Sustainable Aquaculture),MQA/PSA14052,Curtin University Malaysia
CM-Credential in Managing Social Media Platforms,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025,Curtin University Malaysia
CM-Credential in Digital Marketing Strategy,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025,Curtin University Malaysia
CM-Credential in Analytics for Decision Making,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025,Curtin University Malaysia
CM-Credential in Financial Decision Making,Bachelor of Commerce (Finance and Marketing),MQA/SWA0025,Curtin University Malaysia
CM-Credential in Project Management Overview,Master of Science (Project Management),MQA/SWA0040,Curtin University Malaysia
CM-Credential in Project Cost Management,Master of Science (Project Management),MQA/SWA0040,Curtin University Malaysia
CM-Credential in Project Time Management,Master of Science (Project Management),MQA/SWA0040,Curtin University Malaysia
CM-Credential in Project Risk Management,Master of Science (Project Management),MQA/SWA0040,Curtin University Malaysia
Micro Award Front Office Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Restaurant Operation Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Hospitality Law,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Housekeeping Operations,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Culinary Event Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award English Proficiency for Academic Purposes,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Introduction to Hospitality Industry,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Principles of Food Studies,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Baking & Pastry Skills,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Business Communication,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award English Proficiency for Writing Purposes,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
IT & Application,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Food Hygiene & Sanitation,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Food & Beverages Services Skills,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Western Cooking Skills,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Mathematics,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Introduction to Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Hospitality Accounting,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Menu Planning & Cost Control,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro AwardOriental & Asian Cooking Skills,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Introduction to Hospitality Human Resource Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Customer Service,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Hospitality Public Relation,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Catering System & Management,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
Micro Award Hospitality & Travel Marketing,Diploma in Hotel & Catering Management,A 9311,Cybernetics International College of Technology
MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSE,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD PRINCIPLES OF MANAGEMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD APPLICATION OF INFORMATION TECHNOLOGY,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD BUSINESS COMMUNICATION,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD HUMAN RESOURCE MANAGEMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD PRINCIPLES OF ECONOMICS,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD ORGANISATIONAL BEHAVIOUR,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD INTRODUCTION TO ACCOUNTING,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD TRAINING AND DEVELOPMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD BUSINESS LAW,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD INTERNATIONAL HUMAN RESOURCES,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD PRINCIPLES OF MARKETING,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD PRINCIPLES OF ENTREPRENUERSHIP,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD BUSINESS STATISTIC,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD CAREER DEVELOPMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD FUNDAMENTALS OF HUMAN RESOURCE INFORMATION SYSTEMS,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD PERFORMANCE AND APPRAISAL,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD COMPANY LAW,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD NEGOTIATION SKILLS,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD OCCUPATIONAL SAFETY & HEALTH MANAGEMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD RECRUITMENT AND SELECTION,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD FINANCIAL ANALYSIS,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD COMPENSATION MANAGEMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD STRATEGIC MANAGEMENT,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
MICRO AWARD MALAYSIAN INDUSTRIAL RELATIONS: LAW &PRACTICES,Diploma in Human Resources Management,A 9313,Cybernetics International College of Technology
Micro Award Introduction To Information Technology,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction To C++ Programming,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award English For Academic Purposes,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction to Forensic Science,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Matematik Asas 1,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction To Data Structures,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction To Computer Architecture and Organization,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction to Networking,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Technology of Multimedia,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction to Computer Forensic,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award JAVA Programming,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction to Database,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award First responder of digital evidence,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Statistics and Probabilities,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction To Operating System,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Internet Technology,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Discrete Mathematics,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Network Security,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Internet Programming,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Introduction To Artificial Intelligence,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Computer Forensics Lab management,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Cyber law & ethics,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Linux Programming,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
Micro Award Presentation Skills in court,Diploma in Cyber Forensic,A 9653,Cybernetics International College of Technology
MICRO AWARD HUMAN RESOURCES MANAGEMENT,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD BUSINESS MATHEMATICS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD INTRODUCTION TO ACCOUNTING,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD BUSINESS COMMUNICATIONS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD ENGLISH PROFICIENCY FOR WRITING PURPOSES,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD ELECTRONIC COMMERCE,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD BUSINESS LAW,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD ORGANISATIONAL BEHAVIOUR,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD INTERNATIONAL BUSINESS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD FUNDAMENTAL OF MARKETING,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD FINANCIAL ANALYSIS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  PRINCIPLES OF ECONOMICS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  INTRODUCTION TO MULTIMEDIA,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  SMALL BUSINESS MANAGEMENT,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  BUSINESS RESEARCH METHODS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  BUSINESS STATISTICS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  MAHAGERIAL ACCOUNTING,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  MANAGEMENT INFORMATION SYSTEM,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  BUSINESS ETHICS,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  STRATEGIC MANAGEMENT,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  OPERATION MANAGEMENT,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD  BUSINESS PLAN,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD BASIC OF MANAGEMENT,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSES,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD APPLICATION OF INFORMATION TECHNOLOGY,Diploma in Business Management,A11677,Cybernetics International College of Technology
MICRO AWARD INTERPERSONAL COMMUNICATION,Diploma in Business Management,A11677,Cybernetics International College of Technology
Micro Award Organizational Behaviour,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Business Communication,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Principles of Islamic Banking,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Business Law,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award English Proficiency for Academic Purposes,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Application of Information Technology,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Fiqh of Public Policy in Islamic Banking,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Procedural & Legal Aspects of Islamic Banking,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Islamic Financial Market & Institutions,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Islamic Management & Administration,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Financial Analysis,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Islamic Jurisprudence,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Islamic Banking Practice 1,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Management Information System,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Fiqh Muamalat,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Principles of Islamic Accounting,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award International Business,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Communicative Arabic 2,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Introduction to Accounting,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Business Statistics,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Principles of Management,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Principles of Islamic Finance,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Communicative Arabic 1,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Principles of Economics,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
Micro Award Islamic Economics,Diploma in Islamic Banking,A8982,Cybernetics International College of Technology
MICRO AWARD ENGLISH PROFICIENCY FOR ACADEMIC PURPOSE,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Application of Information Technology,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Drawing Fundamental,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Basic Animation,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Multimedia Interface Design,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award 3D Animation,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Visual Communication,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Art History,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Storyboarding,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Image Manipulation,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Multimedia Development,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Design Communication,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Typography,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Photography,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Multimedia Project 1,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Audio Video Editing,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Web Animation,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Desktop Publishing,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Content Development,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Web Design,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Multimedia Project 2,Diploma in Creative Multimedia,A9242,Cybernetics International College of Technology
Micro Award Bahasa Arab 1,Diploma Syariah,FA 13657,Cybernetics International College of Technology
Micro Award Fiqh Sirah,Diploma Syariah,FA 13657,Cybernetics International College of Technology
Micro Award Ulum Al-Quran,Diploma Syariah,FA 13657,Cybernetics International College of Technology
Micro Award English Proficiency for Academic Purposes,Diploma Syariah,FA 13657,Cybernetics International College of Technology
Mircro Award Computer Application,Diploma Syariah,FA 13657,Cybernetics International College of Technology
Micro Award Al-Aqidah Al-Islamiah,Diploma Syariah,FA 13657,Cybernetics International College of Technology
